ds,volume,vix,interest_rate,cpi,y,cap,prophet_forecast,residual,lgb_correction,final_forecast
2015-05-22,13543800.0,12.130000114440918,0.12,237.001,4527.16,26515.992,4317.671580187815,209.48841981218447,200.32196138620262,4517.993541574018
2015-05-23,13543800.0,12.130000114440918,0.12,237.001,4515.719999999999,26515.992,4307.63355830329,208.0864416967097,200.32196138620262,4507.955519689493
2015-05-24,13543800.0,12.130000114440918,0.12,237.001,4515.719999999999,26515.992,4307.661179862292,208.0588201377077,200.32196138620262,4507.983141248495
2015-05-25,13543800.0,12.130000114440918,0.12,237.001,4527.16,26515.992,4351.506684646944,175.6533153530554,200.32196138620262,4551.828646033147
2015-05-26,25488400.0,14.0600004196167,0.12,237.001,4472.96,26515.992,4260.832861535042,212.12713846495808,212.12603953408575,4472.958901069128
2015-05-27,30572700.0,13.270000457763672,0.12,237.001,4546.06,26515.992,4310.073866896311,235.9861331036891,235.99052861183932,4546.0643955081505
2015-05-28,17302400.0,13.3100004196167,0.12,237.001,4535.66,26515.992,4300.771253335464,234.88874666453557,234.88364978066005,4535.654903116124
2015-05-29,30383000.0,13.84000015258789,0.12,237.001,4508.25,26515.992,4271.837833082101,236.4121669178994,245.5149808863878,4517.352813968489
2015-05-30,30383000.0,13.84000015258789,0.12,237.001,4518.018000000001,26515.992,4265.964721164528,252.05327883547307,245.5149808863878,4511.479702050916
2015-05-31,30383000.0,13.84000015258789,0.12,237.001,4518.018000000001,26515.992,4269.9369404369345,248.08105956306645,245.5149808863878,4515.4519213233225
2015-06-01,24570200.0,13.970000267028809,0.13,237.657,4521.85,26515.992,4337.123006093233,184.72699390676735,184.73828002318518,4521.861286116418
2015-06-02,19449600.0,14.239999771118164,0.13,237.657,4508.89,26515.992,4326.685301697983,182.20469830201728,182.20329456832735,4508.888596266311
2015-06-03,20507200.0,13.65999984741211,0.13,237.657,4519.86,26515.992,4369.795851094499,150.0641489055006,150.06210380910755,4519.857954903607
